name,price,rpm,noise_level,color,size
BitFenix Cube ARGB,79.9,2000,34,Black,240.0
Alpenföhn Glacier Water High Speed 360,239.07,"500,2200",36.8,White,360.0
Thermaltake Water 3.0 Riing RGB 280,139.22,"300,1500","18.5,26.4",Black / Red,280.0
Enermax LIQMAXFLO 240,89.99,"500,1800",23.46,Black,240.0
Alphacool Eisbaer LT240,113.5,"550,1700",29,Black,240.0
Azza CUBE 360,99.99,"500,2000",34,Black,360.0
BitFenix Cube ARGB,99.9,2000,34,White,360.0
Thermaltake Floe DX RGB 240 TT Premium Edition,133.88,"500,1500","19,23.9",Black / Gray,240.0
Enermax LIQMAXFLO 420,149.99,"500,1700",25.47,Black,420.0
Enermax LIQMAX III RGB,74.8,"500,1600","14,27",Black,120.0
ADATA XPG LEVANTE 240,109.99,"600,2000",34,Black,240.0
Thermaltake TOUGHLIQUID Ultra RGB,229.99,"500,2000",30.7,Black,280.0
